0,1,2
87.0,98.0,-45.232265
89.0,112.0,-47.775986
91.0,124.0,-49.680065
91.0,137.0,-50.025143
94.0,150.0,-45.973
98.0,163.0,-36.412773
101.0,171.0,-24.07282
108.0,182.0,-11.704207
122.0,187.0,-4.2320404
138.0,183.0,-6.3519773
151.0,175.0,-14.649897
164.0,166.0,-23.657215
172.0,154.0,-30.135115
178.0,140.0,-31.932571
179.0,128.0,-30.220295
181.0,116.0,-27.089443
183.0,102.0,-23.690807
89.0,95.0,2.3429186
92.0,95.0,10.908275
98.0,95.0,17.03365
104.0,95.0,20.895817
110.0,98.0,22.694336
132.0,98.0,28.098545
138.0,97.0,28.944956
144.0,97.0,28.189304
153.0,97.0,25.565252
162.0,98.0,19.33001
120.0,112.0,21.29558
118.0,123.0,23.641254
117.0,131.0,27.548271
115.0,140.0,26.784607
111.0,142.0,13.299347
115.0,143.0,15.468355
118.0,143.0,17.050852
124.0,143.0,17.138544
129.0,142.0,16.241959
98.0,107.0,6.810745
101.0,107.0,12.621837
106.0,107.0,14.254989
111.0,109.0,12.8616
106.0,110.0,13.138527
101.0,110.0,10.785783
136.0,110.0,18.76199
139.0,109.0,22.51956
144.0,109.0,23.607107
151.0,109.0,19.513895
146.0,112.0,21.417711
139.0,112.0,21.088783
104.0,154.0,2.9320781
108.0,152.0,10.560634
115.0,152.0,15.8061285
118.0,152.0,16.79982
122.0,152.0,17.161352
131.0,154.0,13.934207
138.0,156.0,7.8769393
131.0,159.0,12.001512
124.0,161.0,13.665797
118.0,161.0,13.381425
113.0,161.0,11.884243
110.0,157.0,8.550545
106.0,154.0,3.2140076
115.0,156.0,12.288096
120.0,156.0,14.062796
125.0,156.0,13.836336
138.0,156.0,7.579657
124.0,156.0,13.480433
118.0,156.0,13.310107
115.0,156.0,11.8848505
