0,1,2
135.0,184.0,-38.54052
137.0,202.0,-37.307636
141.0,217.0,-36.128944
145.0,230.0,-33.230194
150.0,243.0,-25.174944
158.0,254.0,-11.912534
169.0,258.0,3.5491514
184.0,264.0,17.140434
202.0,269.0,21.358744
219.0,267.0,11.363639
230.0,260.0,-5.438687
236.0,256.0,-23.813217
243.0,247.0,-39.45821
249.0,234.0,-48.52793
254.0,223.0,-52.17916
258.0,208.0,-54.207615
260.0,193.0,-55.690495
154.0,163.0,13.129353
163.0,156.0,20.964731
174.0,154.0,25.781628
184.0,154.0,28.424696
191.0,156.0,29.13973
223.0,158.0,25.37903
232.0,156.0,22.63693
241.0,156.0,17.549385
249.0,160.0,10.317049
256.0,167.0,0.32302102
206.0,176.0,29.099314
208.0,186.0,35.700245
208.0,195.0,43.566544
208.0,204.0,45.0275
195.0,210.0,31.773926
200.0,212.0,33.91426
206.0,212.0,34.66959
213.0,212.0,32.264446
217.0,212.0,29.152147
167.0,176.0,18.608976
174.0,173.0,23.942068
182.0,173.0,23.297182
189.0,176.0,20.384598
182.0,178.0,23.271898
174.0,178.0,22.72246
221.0,178.0,17.031431
230.0,176.0,17.817936
236.0,176.0,16.272137
243.0,180.0,9.064428
236.0,182.0,14.86496
228.0,180.0,17.831152
182.0,232.0,27.887592
191.0,228.0,34.549015
202.0,225.0,37.515675
206.0,228.0,37.739544
210.0,225.0,36.49282
219.0,230.0,31.390158
226.0,234.0,22.440771
219.0,238.0,29.87736
213.0,241.0,33.570004
206.0,241.0,35.08779
197.0,238.0,35.24766
191.0,236.0,33.12546
184.0,232.0,27.776344
200.0,232.0,34.781185
206.0,232.0,35.358116
213.0,232.0,33.48525
223.0,234.0,22.893227
213.0,232.0,32.807068
206.0,232.0,33.887466
200.0,232.0,34.07732
